ticks,new,recycled,waste
0,100,0,0
1,98.04081633,0,1.959183673
2,96.24489796,0,3.755102041
3,94.6122449,0,5.387755102
4,93.06122449,0,6.93877551
5,91.51020408,0,8.489795918
6,90.20408163,0,9.795918367
7,89.14285714,0,10.85714286
8,87.83673469,0,12.16326531
9,86.69387755,0,13.30612245
10,86.12244898,0,13.87755102
11,85.79591837,0,14.20408163
12,84.65306122,0,15.34693878
13,84.08163265,0,15.91836735
14,83.67346939,0,16.32653061
15,83.10204082,0,16.89795918
16,81.79591837,0,18.20408163
17,81.2244898,0,18.7755102
18,81.14285714,0,18.85714286
19,81.06122449,0,18.93877551
20,79.75510204,0,20.24489796
21,79.34693878,0,20.65306122
22,79.10204082,0,20.89795918
23,79.02040816,0,20.97959184
24,77.79591837,0,22.20408163
25,77.63265306,0,22.36734694
26,77.55102041,0,22.44897959
27,77.2244898,0,22.7755102
28,76.08163265,0,23.91836735
29,75.59183673,0,24.40816327
30,75.51020408,0,24.48979592
31,75.26530612,0,24.73469388
32,74.04081633,0,25.95918367
33,73.79591837,0,26.20408163
34,73.63265306,0,26.36734694
35,73.46938776,0,26.53061224
36,72.40816327,0,27.59183673
37,71.83673469,0,28.16326531
38,71.51020408,0,28.48979592
39,71.18367347,0,28.81632653
40,70.20408163,0,29.79591837
41,69.87755102,0,30.12244898
42,69.79591837,0,30.20408163
43,69.63265306,0,30.36734694
44,68.65306122,0,31.34693878
45,68.24489796,0,31.75510204
46,68.08163265,0,31.91836735
47,67.91836735,0,32.08163265
48,66.93877551,0,33.06122449
49,66.69387755,0,33.30612245
50,66.6122449,0,33.3877551
51,66.53061224,0,33.46938776
52,65.46938776,0,34.53061224
53,65.30612245,0,34.69387755
54,65.2244898,0,34.7755102
55,65.14285714,0,34.85714286
56,64.16326531,0,35.83673469
57,64.16326531,0,35.83673469
58,64,0,36
59,63.75510204,0,36.24489796
60,63.02040816,0,36.97959184
61,62.53061224,0,37.46938776
62,62.28571429,0,37.71428571
63,62.12244898,0,37.87755102
64,61.3877551,0,38.6122449
65,60.73469388,0,39.26530612
66,60.40816327,0,39.59183673
67,60.24489796,0,39.75510204
68,59.42857143,0,40.57142857
69,59.18367347,0,40.81632653
70,58.85714286,0,41.14285714
71,58.7755102,0,41.2244898
72,57.95918367,0,42.04081633
73,57.95918367,0,42.04081633
74,57.63265306,0,42.36734694
75,57.14285714,0,42.85714286
76,56.24489796,0,43.75510204
77,56.08163265,0,43.91836735
78,56.08163265,0,43.91836735
79,56.16326531,0,43.83673469
80,55.67346939,0,44.32653061
81,55.26530612,0,44.73469388
82,55.18367347,0,44.81632653
83,55.34693878,0,44.65306122
84,54.85714286,0,45.14285714
85,54.6122449,0,45.3877551
86,54.44897959,0,45.55102041
87,54.12244898,0,45.87755102
88,53.55102041,0,46.44897959
89,53.46938776,0,46.53061224
90,53.3877551,0,46.6122449
91,53.06122449,0,46.93877551
92,52.24489796,0,47.75510204
93,51.91836735,0,48.08163265
94,51.42857143,0,48.57142857
95,51.42857143,0,48.57142857
96,50.93877551,0,49.06122449
97,50.69387755,0,49.30612245
98,50.53061224,0,49.46938776
99,50.28571429,0,49.71428571
100,49.79591837,0,50.20408163
101,49.46938776,0,50.53061224
102,49.2244898,0,50.7755102
103,49.06122449,0,50.93877551
104,48.48979592,0,51.51020408
105,48.08163265,0,51.91836735
106,47.83673469,0,52.16326531
107,47.59183673,0,52.40816327
108,47.02040816,0,52.97959184
109,46.7755102,0,53.2244898
110,46.69387755,0,53.30612245
111,46.44897959,0,53.55102041
112,46.12244898,0,53.87755102
113,45.95918367,0,54.04081633
114,45.79591837,0,54.20408163
115,45.95918367,0,54.04081633
116,45.46938776,0,54.53061224
117,45.63265306,0,54.36734694
118,45.3877551,0,54.6122449
119,44.97959184,0,55.02040816
120,44.48979592,0,55.51020408
121,44.16326531,0,55.83673469
122,43.67346939,0,56.32653061
123,43.18367347,0,56.81632653
124,42.6122449,0,57.3877551
125,42.53061224,0,57.46938776
126,42.53061224,0,57.46938776
127,42.36734694,0,57.63265306
128,41.55102041,0,58.44897959
129,41.55102041,0,58.44897959
130,41.3877551,0,58.6122449
131,40.97959184,0,59.02040816
132,40.40816327,0,59.59183673
133,40,0,60
134,39.75510204,0,60.24489796
135,39.67346939,0,60.32653061
136,39.10204082,0,60.89795918
137,38.7755102,0,61.2244898
138,38.36734694,0,61.63265306
139,38.20408163,0,61.79591837
140,37.79591837,0,62.20408163
141,37.3877551,0,62.6122449
142,37.30612245,0,62.69387755
143,37.46938776,0,62.53061224
144,37.2244898,0,62.7755102
145,37.2244898,0,62.7755102
146,37.14285714,0,62.85714286
147,37.3877551,0,62.6122449
148,36.89795918,0,63.10204082
149,37.06122449,0,62.93877551
150,36.89795918,0,63.10204082
151,36.57142857,0,63.42857143
152,36,0,64
153,35.67346939,0,64.32653061
154,35.75510204,0,64.24489796
155,35.91836735,0,64.08163265
156,35.83673469,0,64.16326531
157,35.67346939,0,64.32653061
158,35.67346939,0,64.32653061
159,35.75510204,0,64.24489796
160,35.18367347,0,64.81632653
161,35.02040816,0,64.97959184
162,35.10204082,0,64.89795918
163,35.10204082,0,64.89795918
164,34.93877551,0,65.06122449
165,34.93877551,0,65.06122449
166,34.6122449,0,65.3877551
167,34.36734694,0,65.63265306
168,33.87755102,0,66.12244898
169,33.46938776,0,66.53061224
170,33.55102041,0,66.44897959
171,33.3877551,0,66.6122449
172,33.46938776,0,66.53061224
173,33.3877551,0,66.6122449
174,33.46938776,0,66.53061224
175,33.3877551,0,66.6122449
176,33.14285714,0,66.85714286
177,32.97959184,0,67.02040816
178,32.81632653,0,67.18367347
179,32.73469388,0,67.26530612
180,32.48979592,0,67.51020408
181,32.24489796,0,67.75510204
182,32,0,68
183,31.67346939,0,68.32653061
184,31.10204082,0,68.89795918
185,30.85714286,0,69.14285714
186,30.93877551,0,69.06122449
187,30.85714286,0,69.14285714
188,30.69387755,0,69.30612245
189,30.69387755,0,69.30612245
190,30.53061224,0,69.46938776
191,30.44897959,0,69.55102041
192,30.20408163,0,69.79591837
193,30.12244898,0,69.87755102
194,29.95918367,0,70.04081633
195,30.04081633,0,69.95918367
196,29.79591837,0,70.20408163
197,29.95918367,0,70.04081633
198,30.04081633,0,69.95918367
199,30.12244898,0,69.87755102
200,29.95918367,0,70.04081633
201,29.95918367,0,70.04081633
202,30.12244898,0,69.87755102
203,30.12244898,0,69.87755102
204,30.12244898,0,69.87755102
205,29.79591837,0,70.20408163
206,29.79591837,0,70.20408163
207,29.30612245,0,70.69387755
208,28.97959184,0,71.02040816
209,28.65306122,0,71.34693878
210,28.57142857,0,71.42857143
211,28.57142857,0,71.42857143
212,28.32653061,0,71.67346939
213,28.08163265,0,71.91836735
214,28.16326531,0,71.83673469
215,28.24489796,0,71.75510204
216,28.16326531,0,71.83673469
217,28.16326531,0,71.83673469
218,28.24489796,0,71.75510204
219,28.08163265,0,71.91836735
220,28.08163265,0,71.91836735
221,28.32653061,0,71.67346939
222,28.32653061,0,71.67346939
223,28.48979592,0,71.51020408
224,28.48979592,0,71.51020408
225,28.40816327,0,71.59183673
226,28.32653061,0,71.67346939
227,28.08163265,0,71.91836735
228,28,0,72
229,27.75510204,0,72.24489796
230,27.59183673,0,72.40816327
231,27.34693878,0,72.65306122
232,27.34693878,0,72.65306122
233,27.10204082,0,72.89795918
234,27.18367347,0,72.81632653
235,27.26530612,0,72.73469388
236,27.10204082,0,72.89795918
237,27.02040816,0,72.97959184
238,26.69387755,0,73.30612245
239,26.6122449,0,73.3877551
240,26.85714286,0,73.14285714
241,26.7755102,0,73.2244898
242,26.7755102,0,73.2244898
243,27.02040816,0,72.97959184
244,26.93877551,0,73.06122449
245,27.18367347,0,72.81632653
246,27.18367347,0,72.81632653
247,27.26530612,0,72.73469388
248,27.42857143,0,72.57142857
249,27.42857143,0,72.57142857
250,27.59183673,0,72.40816327
251,27.75510204,0,72.24489796
252,27.83673469,0,72.16326531
253,28,0,72
254,28.08163265,0,71.91836735
255,27.91836735,0,72.08163265
256,27.67346939,0,72.32653061
257,27.75510204,0,72.24489796
258,27.91836735,0,72.08163265
259,27.67346939,0,72.32653061
260,27.51020408,0,72.48979592
261,27.51020408,0,72.48979592
262,27.51020408,0,72.48979592
263,27.42857143,0,72.57142857
264,27.34693878,0,72.65306122
265,27.34693878,0,72.65306122
266,27.34693878,0,72.65306122
267,27.26530612,0,72.73469388
268,27.26530612,0,72.73469388
269,27.42857143,0,72.57142857
270,27.51020408,0,72.48979592
271,27.42857143,0,72.57142857
272,27.34693878,0,72.65306122
273,27.42857143,0,72.57142857
274,27.42857143,0,72.57142857
275,27.42857143,0,72.57142857
276,27.59183673,0,72.40816327
277,27.67346939,0,72.32653061
278,27.75510204,0,72.24489796
279,27.75510204,0,72.24489796
280,27.83673469,0,72.16326531
281,27.75510204,0,72.24489796
282,27.67346939,0,72.32653061
283,28,0,72
284,28.16326531,0,71.83673469
285,28.16326531,0,71.83673469
286,28.08163265,0,71.91836735
287,28.16326531,0,71.83673469
288,28.16326531,0,71.83673469
289,28.32653061,0,71.67346939
290,28.48979592,0,71.51020408
291,28.48979592,0,71.51020408
292,28.57142857,0,71.42857143
293,28.48979592,0,71.51020408
294,28.65306122,0,71.34693878
295,28.73469388,0,71.26530612
296,28.73469388,0,71.26530612
297,28.89795918,0,71.10204082
298,28.89795918,0,71.10204082
299,28.97959184,0,71.02040816
300,29.06122449,0,70.93877551
301,29.30612245,0,70.69387755
302,29.30612245,0,70.69387755
303,29.55102041,0,70.44897959
304,29.63265306,0,70.36734694
305,30.04081633,0,69.95918367
306,30.12244898,0,69.87755102
307,30.12244898,0,69.87755102
308,30.04081633,0,69.95918367
309,30.12244898,0,69.87755102
310,30.28571429,0,69.71428571
311,30.12244898,0,69.87755102
312,30.44897959,0,69.55102041
313,30.85714286,0,69.14285714
314,31.02040816,0,68.97959184
315,31.02040816,0,68.97959184
316,30.85714286,0,69.14285714
317,30.85714286,0,69.14285714
318,31.18367347,0,68.81632653
319,31.18367347,0,68.81632653
320,31.26530612,0,68.73469388
321,31.34693878,0,68.65306122
322,31.26530612,0,68.73469388
323,31.59183673,0,68.40816327
324,31.75510204,0,68.24489796
325,32,0,68
326,32.08163265,0,67.91836735
327,32.32653061,0,67.67346939
328,32.32653061,0,67.67346939
329,32.40816327,0,67.59183673
330,32.16326531,0,67.83673469
331,32.24489796,0,67.75510204
332,32.24489796,0,67.75510204
333,32.32653061,0,67.67346939
334,32.24489796,0,67.75510204
335,32.32653061,0,67.67346939
336,32.48979592,0,67.51020408
337,32.57142857,0,67.42857143
338,32.40816327,0,67.59183673
339,32.57142857,0,67.42857143
340,32.89795918,0,67.10204082
341,33.14285714,0,66.85714286
342,33.14285714,0,66.85714286
343,33.14285714,0,66.85714286
344,33.30612245,0,66.69387755
345,33.2244898,0,66.7755102
346,33.14285714,0,66.85714286
347,33.14285714,0,66.85714286
348,33.14285714,0,66.85714286
349,33.14285714,0,66.85714286
350,33.3877551,0,66.6122449
351,33.46938776,0,66.53061224
352,33.63265306,0,66.36734694
353,33.79591837,0,66.20408163
354,33.95918367,0,66.04081633
355,34.20408163,0,65.79591837
356,34.20408163,0,65.79591837
357,34.28571429,0,65.71428571
358,34.20408163,0,65.79591837
359,34.28571429,0,65.71428571
360,34.53061224,0,65.46938776
361,34.53061224,0,65.46938776
362,34.6122449,0,65.3877551
363,34.6122449,0,65.3877551
364,34.6122449,0,65.3877551
365,34.69387755,0,65.30612245
366,34.7755102,0,65.2244898
367,34.85714286,0,65.14285714
368,35.18367347,0,64.81632653
369,35.18367347,0,64.81632653
370,35.02040816,0,64.97959184
371,35.02040816,0,64.97959184
372,35.10204082,0,64.89795918
373,35.18367347,0,64.81632653
374,35.10204082,0,64.89795918
375,35.10204082,0,64.89795918
376,35.10204082,0,64.89795918
377,35.10204082,0,64.89795918
378,35.26530612,0,64.73469388
379,35.26530612,0,64.73469388
380,35.18367347,0,64.81632653
381,35.10204082,0,64.89795918
382,35.02040816,0,64.97959184
383,35.02040816,0,64.97959184
384,35.18367347,0,64.81632653
385,35.26530612,0,64.73469388
386,35.83673469,0,64.16326531
387,35.83673469,0,64.16326531
388,36.08163265,0,63.91836735
389,36.32653061,0,63.67346939
390,36.32653061,0,63.67346939
391,36.48979592,0,63.51020408
392,36.65306122,0,63.34693878
393,36.65306122,0,63.34693878
394,36.65306122,0,63.34693878
395,36.81632653,0,63.18367347
396,36.89795918,0,63.10204082
397,36.97959184,0,63.02040816
398,37.06122449,0,62.93877551
399,37.30612245,0,62.69387755
400,37.30612245,0,62.69387755
401,37.46938776,0,62.53061224
402,37.63265306,0,62.36734694
403,37.63265306,0,62.36734694
404,37.71428571,0,62.28571429
405,37.63265306,0,62.36734694
406,37.87755102,0,62.12244898
407,37.95918367,0,62.04081633
408,38.20408163,0,61.79591837
409,38.6122449,0,61.3877551
410,38.69387755,0,61.30612245
411,38.69387755,0,61.30612245
412,38.7755102,0,61.2244898
413,38.93877551,0,61.06122449
414,39.02040816,0,60.97959184
415,39.02040816,0,60.97959184
416,39.18367347,0,60.81632653
417,39.34693878,0,60.65306122
418,39.26530612,0,60.73469388
419,39.26530612,0,60.73469388
420,39.59183673,0,60.40816327
421,39.83673469,0,60.16326531
422,39.91836735,0,60.08163265
423,40,0,60
424,40.08163265,0,59.91836735
425,40.08163265,0,59.91836735
426,40.16326531,0,59.83673469
427,40.32653061,0,59.67346939
428,40.40816327,0,59.59183673
429,40.40816327,0,59.59183673
430,40.48979592,0,59.51020408
431,40.40816327,0,59.59183673
432,40.40816327,0,59.59183673
433,40.57142857,0,59.42857143
434,40.65306122,0,59.34693878
435,41.06122449,0,58.93877551
436,41.06122449,0,58.93877551
437,41.2244898,0,58.7755102
438,41.3877551,0,58.6122449
439,41.3877551,0,58.6122449
440,41.71428571,0,58.28571429
441,41.79591837,0,58.20408163
442,41.87755102,0,58.12244898
443,41.95918367,0,58.04081633
444,41.95918367,0,58.04081633
445,41.95918367,0,58.04081633
446,41.95918367,0,58.04081633
447,42.04081633,0,57.95918367
448,41.95918367,0,58.04081633
449,41.87755102,0,58.12244898
450,42.04081633,0,57.95918367
451,42.04081633,0,57.95918367
452,42.20408163,0,57.79591837
453,42.28571429,0,57.71428571
454,42.28571429,0,57.71428571
455,42.36734694,0,57.63265306
456,42.6122449,0,57.3877551
457,42.6122449,0,57.3877551
458,42.69387755,0,57.30612245
459,42.7755102,0,57.2244898
460,42.85714286,0,57.14285714
461,42.93877551,0,57.06122449
462,43.02040816,0,56.97959184
463,43.10204082,0,56.89795918
464,43.10204082,0,56.89795918
465,43.10204082,0,56.89795918
466,43.10204082,0,56.89795918
467,43.26530612,0,56.73469388
468,43.51020408,0,56.48979592
469,43.51020408,0,56.48979592
470,43.51020408,0,56.48979592
471,43.59183673,0,56.40816327
472,43.59183673,0,56.40816327
473,43.59183673,0,56.40816327
474,43.75510204,0,56.24489796
475,43.83673469,0,56.16326531
476,43.91836735,0,56.08163265
477,44,0,56
478,44.16326531,0,55.83673469
479,44.16326531,0,55.83673469
480,44.48979592,0,55.51020408
481,44.57142857,0,55.42857143
482,44.81632653,0,55.18367347
483,44.89795918,0,55.10204082
484,44.89795918,0,55.10204082
485,44.89795918,0,55.10204082
486,44.97959184,0,55.02040816
487,45.14285714,0,54.85714286
488,45.2244898,0,54.7755102
489,45.3877551,0,54.6122449
490,45.3877551,0,54.6122449
491,45.3877551,0,54.6122449
492,45.46938776,0,54.53061224
493,45.63265306,0,54.36734694
494,45.63265306,0,54.36734694
495,45.79591837,0,54.20408163
496,46.04081633,0,53.95918367
497,46.28571429,0,53.71428571
498,46.36734694,0,53.63265306
499,46.53061224,0,53.46938776
500,46.6122449,0,53.3877551
501,46.6122449,0,53.3877551
502,46.69387755,0,53.30612245
503,46.85714286,0,53.14285714
504,47.02040816,0,52.97959184
505,47.18367347,0,52.81632653
506,47.18367347,0,52.81632653
507,47.26530612,0,52.73469388
508,47.34693878,0,52.65306122
509,47.51020408,0,52.48979592
510,47.59183673,0,52.40816327
511,47.67346939,0,52.32653061
512,47.83673469,0,52.16326531
513,48.08163265,0,51.91836735
514,48.24489796,0,51.75510204
515,48.40816327,0,51.59183673
516,48.40816327,0,51.59183673
517,48.48979592,0,51.51020408
518,48.48979592,0,51.51020408
519,48.48979592,0,51.51020408
520,48.48979592,0,51.51020408
521,48.57142857,0,51.42857143
522,48.89795918,0,51.10204082
523,48.97959184,0,51.02040816
524,49.14285714,0,50.85714286
525,49.3877551,0,50.6122449
526,49.3877551,0,50.6122449
527,49.46938776,0,50.53061224
528,49.63265306,0,50.36734694
529,49.95918367,0,50.04081633
530,50.20408163,0,49.79591837
531,50.36734694,0,49.63265306
532,50.36734694,0,49.63265306
533,50.7755102,0,49.2244898
534,50.85714286,0,49.14285714
535,50.85714286,0,49.14285714
536,51.02040816,0,48.97959184
537,51.02040816,0,48.97959184
538,51.02040816,0,48.97959184
539,51.18367347,0,48.81632653
540,51.34693878,0,48.65306122
541,51.42857143,0,48.57142857
542,51.67346939,0,48.32653061
543,51.75510204,0,48.24489796
544,51.83673469,0,48.16326531
545,51.91836735,0,48.08163265
546,52,0,48
547,52.08163265,0,47.91836735
548,52.08163265,0,47.91836735
549,52.08163265,0,47.91836735
550,52.16326531,0,47.83673469
551,52.24489796,0,47.75510204
552,52.32653061,0,47.67346939
553,52.40816327,0,47.59183673
