ticks,recyclers,wastefuls
0,0,25
1,0,25
2,0,25
3,0,25
4,0,25
5,0,25
6,0,25
7,0,25
8,0,25
9,0,25
10,0,25
11,0,25
12,0,25
13,0,25
14,0,25
15,0,25
16,0,25
17,0,25
18,0,25
19,0,25
20,0,25
21,0,25
22,0,25
23,0,25
24,0,25
25,0,25
26,0,25
27,0,25
28,0,25
29,0,25
30,0,25
31,0,25
32,0,25
33,0,25
34,0,25
35,0,25
36,0,25
37,0,25
38,0,25
39,0,25
40,0,25
41,0,25
42,0,25
43,0,25
44,0,25
45,0,25
46,0,25
47,0,25
48,0,25
49,0,25
50,0,25
51,0,25
52,0,25
53,0,25
54,0,25
55,0,25
56,0,25
57,0,25
58,0,25
59,0,25
60,0,25
61,0,25
62,0,25
63,0,25
64,0,25
65,0,25
66,0,25
67,0,25
68,0,25
69,0,25
70,0,25
71,0,25
72,0,25
73,0,25
74,0,25
75,0,25
76,0,25
77,0,25
78,0,25
79,0,25
80,0,25
81,0,25
82,0,25
83,0,25
84,0,25
85,0,25
86,0,25
87,0,25
88,0,25
89,0,25
90,0,25
91,0,25
92,0,25
93,0,25
94,0,25
95,0,25
96,0,25
97,0,25
98,0,25
99,0,25
100,0,25
101,0,25
102,0,25
103,0,25
104,0,25
105,0,25
106,0,24
107,0,24
108,0,24
109,0,24
110,0,24
111,0,24
112,0,24
113,0,24
114,0,24
115,0,24
116,0,24
117,0,24
118,0,24
119,0,24
120,0,24
121,0,24
122,0,24
123,0,24
124,0,24
125,0,24
126,0,24
127,0,24
128,0,24
129,0,24
130,0,24
131,0,24
132,0,24
133,0,24
134,0,24
135,0,24
136,0,24
137,0,24
138,0,24
139,0,24
140,0,24
141,0,24
142,0,24
143,0,24
144,0,24
145,0,24
146,0,24
147,0,24
148,0,24
149,0,24
150,0,24
151,0,24
152,0,24
153,0,24
154,0,24
155,0,24
156,0,24
157,0,24
158,0,24
159,0,24
160,0,24
161,0,24
162,0,24
163,0,24
164,0,24
165,0,24
166,0,24
167,0,24
168,0,24
169,0,24
170,0,24
171,0,24
172,0,24
173,0,24
174,0,24
175,0,24
176,0,24
177,0,24
178,0,24
179,0,24
180,0,24
181,0,24
182,0,24
183,0,24
184,0,24
185,0,24
186,0,24
187,0,24
188,0,24
189,0,24
190,0,24
191,0,24
192,0,24
193,0,24
194,0,24
195,0,24
196,0,24
197,0,24
198,0,24
199,0,24
200,0,24
201,0,24
202,0,24
203,0,24
204,0,24
205,0,24
206,0,23
207,0,23
208,0,23
209,0,23
210,0,23
211,0,23
212,0,23
213,0,23
214,0,23
215,0,23
216,0,23
217,0,23
218,0,23
219,0,23
220,0,23
221,0,23
222,0,23
223,0,23
224,0,23
225,0,23
226,0,23
227,0,23
228,0,23
229,0,23
230,0,23
231,0,23
232,0,23
233,0,23
234,0,23
235,0,23
236,0,23
237,0,23
238,0,23
239,0,23
240,0,23
241,0,23
242,0,23
243,0,23
244,0,23
245,0,23
246,0,23
247,0,23
248,0,23
249,0,23
250,0,23
251,0,23
252,0,23
253,0,23
254,0,23
255,0,23
256,0,23
257,0,23
258,0,23
259,0,23
260,0,23
261,0,23
262,0,23
263,0,23
264,0,23
265,0,23
266,0,23
267,0,23
268,0,23
269,0,23
270,0,23
271,0,23
272,0,23
273,0,23
274,0,23
275,0,23
276,0,23
277,0,23
278,0,23
279,0,23
280,0,23
281,0,23
282,0,23
283,0,23
284,0,23
285,0,23
286,0,23
287,0,23
288,0,23
289,0,23
290,0,23
291,0,23
292,0,23
293,0,23
294,0,23
295,0,23
296,0,23
297,0,23
298,0,23
299,0,23
300,0,23
301,0,23
302,0,23
303,0,23
304,0,23
305,0,23
306,0,23
307,0,23
308,0,23
309,0,23
310,0,23
311,0,23
312,0,23
313,0,23
314,0,23
315,0,23
316,0,23
317,0,23
318,0,23
319,0,23
320,0,23
321,0,23
322,0,23
323,0,23
324,0,23
325,0,23
326,0,23
327,0,23
328,0,23
329,0,23
330,0,23
331,0,23
332,0,23
333,0,23
334,0,23
335,0,23
336,0,23
337,0,23
338,0,22
339,0,22
340,0,22
341,0,22
342,0,22
343,0,22
344,0,22
345,0,22
346,0,22
347,0,22
348,0,22
349,0,22
350,0,22
351,0,22
352,0,22
353,0,22
354,0,22
355,0,22
356,0,22
357,0,22
358,0,22
359,0,22
360,0,22
361,0,22
362,0,22
363,0,22
364,0,22
365,0,22
366,0,22
367,0,22
368,0,22
369,0,22
370,0,22
371,0,22
372,0,22
373,0,22
374,0,22
375,0,22
376,0,22
377,0,22
378,0,22
379,0,22
380,0,22
381,0,22
382,0,22
383,0,22
384,0,22
385,0,22
386,0,22
387,0,22
388,0,22
389,0,22
390,0,22
391,0,22
392,0,22
393,0,22
394,0,22
395,0,22
396,0,22
397,0,22
398,0,22
399,0,22
400,0,22
401,0,22
402,0,22
403,0,22
404,0,22
405,0,22
406,0,22
407,0,22
408,0,22
409,0,22
410,0,22
411,0,22
412,0,22
413,0,22
414,0,22
415,0,22
416,0,22
417,0,22
418,0,22
419,0,22
420,0,22
421,0,22
422,0,22
423,0,22
424,0,22
425,0,22
426,0,22
427,0,22
428,0,22
429,0,22
430,0,22
431,0,22
432,0,22
433,0,22
434,0,22
435,0,22
436,0,22
437,0,22
438,0,22
439,0,22
440,0,22
441,0,22
442,0,22
443,0,22
444,0,22
445,0,22
446,0,22
447,0,22
448,0,22
449,0,22
450,0,22
451,0,22
452,0,22
453,0,22
454,0,22
455,0,22
456,0,22
457,0,22
458,0,22
459,0,22
460,0,22
461,0,22
462,0,21
463,0,21
464,0,21
465,0,21
466,0,21
467,0,21
468,0,21
469,0,21
470,0,21
471,0,21
472,0,21
473,0,21
474,0,21
475,0,21
476,0,21
477,0,21
478,0,21
479,0,21
480,0,21
481,0,21
482,0,21
483,0,21
484,0,21
485,0,21
486,0,21
487,0,21
488,0,21
489,0,21
490,0,21
491,0,21
492,0,21
493,0,21
494,0,21
495,0,21
496,0,21
497,0,21
498,0,21
499,0,21
500,0,21
501,0,21
502,0,21
503,0,21
504,0,21
505,0,21
506,0,21
507,0,21
508,0,21
509,0,21
510,0,21
511,0,21
512,0,21
513,0,21
514,0,21
515,0,21
516,0,21
517,0,21
518,0,21
519,0,21
520,0,21
521,0,21
522,0,20
523,0,20
524,0,20
525,0,20
526,0,20
527,0,20
528,0,20
529,0,20
530,0,20
531,0,20
532,0,20
533,0,20
534,0,20
535,0,20
536,0,20
537,0,20
538,0,20
539,0,20
540,0,20
541,0,20
542,0,20
543,0,20
544,0,20
545,0,20
546,0,20
547,0,20
548,0,20
549,0,20
550,0,20
551,0,20
552,0,20
553,0,20
554,0,20
555,0,20
556,0,20
557,0,20
558,0,20
559,0,20
560,0,20
561,0,20
562,0,20
563,0,20
564,0,20
565,0,20
566,0,20
567,0,20
568,0,20
569,0,20
570,0,20
571,0,20
572,0,20
573,0,20
574,0,20
575,0,20
576,0,20
577,0,20
578,0,20
579,0,20
580,0,20
581,0,20
582,0,20
583,0,20
584,0,20
585,0,20
586,0,20
587,0,20
588,0,20
589,0,20
590,0,20
591,0,20
592,0,20
593,0,20
594,0,20
595,0,20
596,0,20
597,0,20
598,0,20
599,0,20
600,0,20
601,0,20
602,0,20
603,0,20
604,0,20
605,0,20
606,0,20
607,0,20
608,0,20
609,0,20
610,0,20
611,0,20
612,0,20
613,0,20
614,0,20
615,0,20
616,0,20
617,0,20
618,0,20
619,0,20
620,0,20
621,0,20
622,0,20
623,0,20
624,0,20
625,0,20
626,0,20
627,0,20
628,0,20
629,0,20
630,0,20
631,0,20
632,0,20
633,0,20
634,0,20
635,0,20
636,0,20
637,0,20
638,0,20
639,0,20
640,0,20
641,0,20
642,0,20
643,0,20
644,0,20
645,0,20
646,0,20
647,0,20
648,0,20
649,0,20
650,0,20
651,0,20
652,0,20
653,0,20
654,0,20
655,0,20
656,0,20
657,0,20
658,0,20
659,0,20
660,0,20
661,0,20
662,0,20
663,0,20
664,0,20
665,0,20
666,0,20
667,0,20
668,0,20
669,0,20
670,0,20
671,0,20
672,0,20
673,0,20
674,0,20
675,0,20
676,0,20
677,0,20
678,0,20
679,0,20
680,0,20
681,0,20
682,0,20
683,0,20
684,0,20
685,0,20
686,0,20
687,0,20
688,0,20
689,0,20
690,0,20
691,0,20
692,0,20
693,0,20
694,0,20
695,0,20
696,0,20
697,0,20
698,0,20
699,0,20
700,0,20
701,0,20
702,0,20
703,0,20
704,0,20
705,0,20
706,0,20
707,0,20
708,0,20
709,0,20
710,0,20
711,0,20
712,0,20
713,0,20
714,0,20
715,0,20
716,0,20
717,0,20
718,0,20
719,0,20
720,0,20
721,0,20
722,0,20
723,0,20
724,0,20
725,0,20
726,0,20
727,0,20
728,0,20
729,0,20
730,0,20
731,0,20
732,0,20
733,0,20
734,0,20
735,0,20
736,0,20
737,0,20
738,0,20
739,0,20
740,0,20
741,0,20
742,0,20
743,0,20
744,0,20
745,0,20
746,0,20
747,0,20
748,0,20
749,0,20
750,0,20
751,0,20
752,0,20
753,0,20
754,0,20
755,0,20
756,0,20
757,0,20
758,0,20
759,0,20
760,0,20
761,0,20
762,0,20
763,0,20
764,0,20
765,0,20
766,0,20
767,0,20
768,0,20
769,0,20
770,0,20
771,0,20
772,0,20
773,0,20
774,0,20
775,0,20
776,0,20
777,0,20
778,0,20
779,0,20
780,0,20
781,0,20
782,0,20
783,0,20
784,0,20
785,0,20
786,0,20
787,0,20
788,0,20
789,0,20
790,0,20
791,0,20
792,0,20
793,0,20
794,0,20
795,0,20
796,0,20
797,0,20
798,0,20
799,0,20
800,0,20
801,0,20
802,0,20
803,0,20
804,0,20
805,0,20
806,0,20
807,0,20
808,0,20
809,0,20
810,0,20
811,0,20
812,0,20
813,0,20
814,0,20
815,0,20
816,0,20
817,0,20
818,0,20
819,0,20
820,0,20
821,0,20
822,0,20
823,0,20
824,0,20
825,0,20
826,0,20
827,0,20
828,0,20
829,0,20
830,0,20
831,0,20
832,0,20
833,0,20
834,0,20
835,0,20
836,0,20
837,0,20
838,0,19
839,0,19
840,0,19
841,0,19
842,0,19
843,0,19
844,0,19
845,0,19
846,0,18
847,0,18
848,0,18
849,0,18
850,0,18
851,0,18
852,0,18
853,0,18
854,0,18
855,0,18
856,0,18
857,0,18
858,0,18
859,0,18
860,0,18
861,0,18
862,0,18
863,0,18
864,0,18
865,0,18
866,0,18
867,0,18
868,0,18
869,0,18
870,0,18
871,0,18
872,0,18
873,0,18
874,0,18
875,0,18
876,0,18
877,0,18
878,0,18
879,0,18
880,0,18
881,0,18
882,0,18
883,0,18
884,0,18
885,0,18
886,0,18
887,0,18
888,0,18
889,0,18
890,0,18
891,0,18
892,0,18
893,0,18
894,0,18
895,0,18
896,0,18
897,0,18
898,0,18
899,0,18
900,0,18
901,0,18
902,0,18
903,0,18
904,0,18
905,0,18
906,0,18
907,0,18
908,0,18
909,0,18
910,0,18
911,0,18
912,0,18
913,0,18
914,0,18
915,0,18
916,0,18
917,0,18
918,0,18
919,0,18
920,0,18
921,0,18
922,0,18
923,0,18
924,0,18
925,0,18
926,0,18
927,0,18
928,0,18
929,0,18
930,0,18
931,0,18
932,0,18
933,0,18
934,0,18
935,0,18
936,0,18
937,0,18
938,0,18
939,0,18
940,0,18
941,0,18
942,0,18
943,0,18
944,0,18
945,0,18
946,0,18
947,0,18
948,0,18
949,0,18
950,0,18
951,0,18
952,0,18
953,0,18
954,0,18
955,0,18
956,0,18
957,0,18
958,0,18
959,0,18
960,0,18
961,0,18
962,0,18
963,0,18
964,0,18
965,0,18
966,0,18
967,0,18
968,0,18
969,0,18
970,0,18
971,0,18
972,0,18
973,0,18
974,0,18
975,0,18
976,0,18
977,0,18
978,0,18
979,0,18
980,0,18
981,0,18
982,0,18
983,0,18
984,0,18
985,0,18
986,0,18
987,0,18
988,0,18
989,0,18
990,0,18
991,0,18
992,0,18
993,0,18
994,0,18
995,0,18
996,0,18
997,0,18
998,0,18
999,0,18
1000,0,18
1001,0,18
1002,0,18
1003,0,18
1004,0,18
1005,0,18
1006,0,18
1007,0,18
1008,0,18
1009,0,18
1010,0,18
1011,0,18
1012,0,18
1013,0,18
1014,0,18
1015,0,18
1016,0,18
1017,0,18
1018,0,18
1019,0,18
1020,0,18
1021,0,18
1022,0,18
1023,0,18
1024,0,18
1025,0,18
1026,0,18
1027,0,18
1028,0,18
1029,0,18
1030,0,18
1031,0,18
1032,0,18
1033,0,18
1034,0,18
1035,0,18
1036,0,18
1037,0,18
1038,0,18
1039,0,18
1040,0,18
1041,0,18
1042,0,18
1043,0,18
1044,0,18
1045,0,18
1046,0,18
1047,0,18
1048,0,18
1049,0,18
1050,0,18
1051,0,18
1052,0,18
1053,0,18
1054,0,18
1055,0,18
1056,0,18
1057,0,18
1058,0,18
1059,0,18
1060,0,18
1061,0,18
1062,0,18
1063,0,18
1064,0,18
1065,0,18
1066,0,18
1067,0,18
1068,0,18
1069,0,18
1070,0,18
1071,0,18
1072,0,18
1073,0,18
1074,0,18
1075,0,18
1076,0,18
1077,0,18
1078,0,18
1079,0,18
1080,0,18
1081,0,18
1082,0,18
1083,0,18
1084,0,18
1085,0,18
1086,0,18
1087,0,18
1088,0,18
1089,0,18
1090,0,18
1091,0,18
1092,0,18
1093,0,18
1094,0,18
1095,0,18
1096,0,18
1097,0,18
1098,0,18
1099,0,18
1100,0,18
1101,0,18
1102,0,18
1103,0,18
1104,0,18
1105,0,18
1106,0,17
1107,0,17
1108,0,17
1109,0,17
1110,0,17
1111,0,17
1112,0,17
1113,0,17
1114,0,17
1115,0,17
1116,0,17
1117,0,17
1118,0,16
1119,0,16
1120,0,16
1121,0,16
1122,0,16
1123,0,16
1124,0,16
1125,0,16
1126,0,16
1127,0,16
1128,0,16
1129,0,16
1130,0,16
1131,0,16
1132,0,16
1133,0,16
1134,0,16
1135,0,16
1136,0,16
1137,0,16
1138,0,15
1139,0,15
1140,0,15
1141,0,15
1142,0,15
1143,0,15
1144,0,15
1145,0,15
1146,0,15
1147,0,15
1148,0,15
1149,0,15
1150,0,15
1151,0,15
1152,0,15
1153,0,15
1154,0,15
1155,0,15
1156,0,15
1157,0,15
1158,0,14
1159,0,14
1160,0,14
1161,0,14
1162,0,14
1163,0,14
1164,0,14
1165,0,14
1166,0,14
1167,0,14
1168,0,14
1169,0,14
1170,0,14
1171,0,14
1172,0,14
1173,0,14
1174,0,14
1175,0,14
1176,0,14
1177,0,14
1178,0,14
1179,0,14
1180,0,14
1181,0,14
1182,0,14
1183,0,14
1184,0,14
1185,0,14
1186,0,14
1187,0,14
1188,0,14
1189,0,14
1190,0,14
1191,0,14
1192,0,14
1193,0,14
1194,0,14
1195,0,14
1196,0,14
1197,0,14
1198,0,14
1199,0,14
1200,0,14
1201,0,14
1202,0,14
1203,0,14
1204,0,14
1205,0,14
1206,0,14
1207,0,14
1208,0,14
1209,0,14
1210,0,14
1211,0,14
1212,0,14
1213,0,14
1214,0,14
1215,0,14
1216,0,14
1217,0,14
1218,0,14
1219,0,14
1220,0,14
1221,0,14
1222,0,14
1223,0,14
1224,0,14
1225,0,14
1226,0,14
1227,0,14
1228,0,14
1229,0,14
1230,0,14
1231,0,14
1232,0,14
1233,0,14
1234,0,14
1235,0,14
1236,0,14
1237,0,14
1238,0,14
1239,0,14
1240,0,14
1241,0,14
1242,0,14
1243,0,14
1244,0,14
1245,0,14
1246,0,14
1247,0,14
1248,0,14
1249,0,14
1250,0,14
1251,0,14
1252,0,14
1253,0,14
1254,0,14
1255,0,14
1256,0,14
1257,0,14
1258,0,14
1259,0,14
1260,0,14
1261,0,14
1262,0,14
1263,0,14
1264,0,14
1265,0,14
1266,0,14
1267,0,14
1268,0,14
1269,0,14
1270,0,14
1271,0,14
1272,0,14
1273,0,14
1274,0,14
1275,0,14
1276,0,14
1277,0,14
1278,0,14
1279,0,14
1280,0,14
1281,0,14
1282,0,14
1283,0,14
1284,0,14
1285,0,14
1286,0,14
1287,0,14
1288,0,14
1289,0,14
1290,0,14
1291,0,14
1292,0,14
1293,0,14
1294,0,14
1295,0,14
1296,0,14
1297,0,14
1298,0,14
1299,0,14
1300,0,14
1301,0,14
1302,0,14
1303,0,14
1304,0,14
1305,0,14
1306,0,14
1307,0,14
1308,0,14
1309,0,14
1310,0,14
1311,0,14
1312,0,14
1313,0,14
1314,0,14
1315,0,14
1316,0,14
1317,0,14
1318,0,14
1319,0,14
1320,0,14
1321,0,14
1322,0,14
1323,0,14
1324,0,14
1325,0,14
1326,0,14
1327,0,14
1328,0,14
1329,0,14
1330,0,14
1331,0,14
1332,0,14
1333,0,14
1334,0,14
1335,0,14
1336,0,14
1337,0,14
1338,0,14
1339,0,14
1340,0,14
1341,0,14
1342,0,14
1343,0,14
1344,0,14
1345,0,14
1346,0,14
1347,0,14
1348,0,14
1349,0,14
1350,0,14
1351,0,14
1352,0,14
1353,0,14
1354,0,14
1355,0,14
1356,0,14
1357,0,14
1358,0,14
1359,0,14
1360,0,14
1361,0,14
1362,0,14
1363,0,14
1364,0,14
1365,0,14
1366,0,14
1367,0,14
1368,0,14
1369,0,14
1370,0,14
1371,0,14
1372,0,14
1373,0,14
1374,0,14
1375,0,14
1376,0,14
1377,0,14
1378,0,14
1379,0,14
1380,0,14
1381,0,14
1382,0,14
1383,0,14
1384,0,14
1385,0,14
1386,0,14
1387,0,14
1388,0,14
1389,0,14
1390,0,14
1391,0,14
1392,0,14
1393,0,14
1394,0,14
1395,0,14
1396,0,14
1397,0,14
1398,0,14
1399,0,14
1400,0,14
1401,0,14
1402,0,14
1403,0,14
1404,0,14
1405,0,14
1406,0,14
1407,0,14
1408,0,14
1409,0,14
1410,0,14
1411,0,14
1412,0,14
1413,0,14
1414,0,14
1415,0,14
1416,0,14
1417,0,14
1418,0,14
1419,0,14
1420,0,14
1421,0,14
1422,0,14
1423,0,14
1424,0,14
1425,0,14
1426,0,14
1427,0,14
1428,0,14
1429,0,14
1430,0,14
1431,0,14
1432,0,14
1433,0,14
1434,0,14
1435,0,14
1436,0,14
1437,0,14
1438,0,14
1439,0,14
1440,0,14
1441,0,14
1442,0,14
1443,0,14
1444,0,14
1445,0,14
1446,0,14
1447,0,14
1448,0,14
